hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
สำนักงานสาธารณสุขอำเภอเมืองสกลนคร,00493,อื่นๆ,,,8,47,47-สกลนคร,4701,01-เมืองสกลนคร,470101,01-ธาตุเชิงชุม
สำนักงานสาธารณสุขอำเภอกุสุมาลย์,00494,อื่นๆ,,,8,47,47-สกลนคร,4702,02-กุสุมาลย์,470201,01-กุสุมาลย์
สำนักงานสาธารณสุขอำเภอกุดบาก,00495,อื่นๆ,,,8,47,47-สกลนคร,4703,03-กุดบาก,470301,01-กุดบาก
สำนักงานสาธารณสุขอำเภอพรรณานิคม,00496,อื่นๆ,,,8,47,47-สกลนคร,4704,04-พรรณานิคม,470401,01-พรรณา
สำนักงานสาธารณสุขอำเภอคำตากล้า,00501,อื่นๆ,,,8,47,47-สกลนคร,4709,09-คำตากล้า,470901,01-คำตากล้า
สำนักงานสาธารณสุขอำเภอสุวรรณภูมิ,00467,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4511,11-สุวรรณภูมิ,451101,01-สระคู
สำนักงานสาธารณสุขอำเภอรัตนวาปี,00444,อื่นๆ,,,8,43,43-หนองคาย,4316,16-รัตนวาปี,431601,01-รัตนวาปี
สำนักงานสาธารณสุขอำเภอเมยวดี,00471,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4515,15-เมยวดี,451501,01-เมยวดี
สำนักงานสาธารณสุขอำเภออาจสามารถ,00470,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4514,14-อาจสามารถ,451401,01-อาจสามารถ
สำนักงานสาธารณสุขอำเภอศรีสมเด็จ,00472,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4516,16-ศรีสมเด็จ,451602,02-ศรีสมเด็จ
สำนักงานสาธารณสุขอำเภอเชียงขวัญ,00474,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4518,18-เชียงขวัญ,451801,01-เชียงขวัญ
สำนักงานสาธารณสุขอำเภอหนองฮี,00475,อื่นๆ,,,7,45,45-ร้อยเอ็ด,4519,19-หนองฮี,451901,01-หนองฮี
สำนักงานสาธารณสุขอำเภอปลาปาก,00512,อื่นๆ,,,8,48,48-นครพนม,4802,02-ปลาปาก,480201,01-ปลาปาก
สำนักงานสาธารณสุขอำเภอท่าอุเทน,00513,อื่นๆ,,,8,48,48-นครพนม,4803,03-ท่าอุเทน,480301,01-ท่าอุเทน
สำนักงานสาธารณสุขอำเภอบ้านแพง,00514,อื่นๆ,,,8,48,48-นครพนม,4804,04-บ้านแพง,480401,01-บ้านแพง
สำนักงานสาธารณสุขอำเภอนาแก,00517,อื่นๆ,,,8,48,48-นครพนม,4807,07-นาแก,480701,01-นาแก
สำนักงานสาธารณสุขอำเภอศรีสงคราม,00518,อื่นๆ,,,8,48,48-นครพนม,4808,08-ศรีสงคราม,480801,01-ศรีสงคราม
สำนักงานสาธารณสุขอำเภอนาหว้า,00519,อื่นๆ,,,8,48,48-นครพนม,4809,09-นาหว้า,480901,01-นาหว้า
สำนักงานสาธารณสุขอำเภอโพนสวรรค์,00520,อื่นๆ,,,8,48,48-นครพนม,4810,10-โพนสวรรค์,481001,01-โพนสวรรค์
สำนักงานสาธารณสุขอำเภอนาทม,00521,อื่นๆ,,,8,48,48-นครพนม,4811,11-นาทม,481101,01-นาทม
สำนักงานสาธารณสุขอำเภอเชียงดาว,00532,อื่นๆ,,,1,50,50-เชียงใหม่,5004,04-เชียงดาว,500401,01-เชียงดาว
สำนักงานสาธารณสุขอำเภอแม่อาย,00538,อื่นๆ,,,1,50,50-เชียงใหม่,5010,10-แม่อาย,501001,01-แม่อาย
สำนักงานสาธารณสุขอำเภอส่องดาว,00505,อื่นๆ,,,8,47,47-สกลนคร,4713,13-ส่องดาว,471301,01-ส่องดาว
สำนักงานสาธารณสุขอำเภอเต่างอย,00506,อื่นๆ,,,8,47,47-สกลนคร,4714,14-เต่างอย,471401,01-เต่างอย
สำนักงานสาธารณสุขอำเภอโพนนาแก้ว,00509,อื่นๆ,,,8,47,47-สกลนคร,4717,17-โพนนาแก้ว,471702,02-นาแก้ว
สำนักงานสาธารณสุขอำเภอโคกศรีสุพรรณ,00507,อื่นๆ,,,8,47,47-สกลนคร,4715,15-โคกศรีสุพรรณ,471501,01-ตองโขบ
สำนักงานสาธารณสุขอำเภอเจริญศิลป์,00508,อื่นๆ,,,8,47,47-สกลนคร,4716,16-เจริญศิลป์,471602,02-เจริญศิลป์
สำนักงานสาธารณสุขอำเภอเมืองมุกดาหาร,00522,อื่นๆ,,,10,49,49-มุกดาหาร,4901,01-เมืองมุกดาหาร,490101,01-มุกดาหาร
สำนักงานสาธารณสุขอำเภอนิคมคำสร้อย,00523,อื่นๆ,,,10,49,49-มุกดาหาร,4902,02-นิคมคำสร้อย,490201,01-นิคมคำสร้อย
สำนักงานสาธารณสุขอำเภอดอนตาล,00524,อื่นๆ,,,10,49,49-มุกดาหาร,4903,03-ดอนตาล,490301,01-ดอนตาล
สำนักงานสาธารณสุขอำเภอดงหลวง,00525,อื่นๆ,,,10,49,49-มุกดาหาร,4904,04-ดงหลวง,490401,01-ดงหลวง
สำนักงานสาธารณสุขอำเภอหว้านใหญ่,00527,อื่นๆ,,,10,49,49-มุกดาหาร,4906,06-หว้านใหญ่,490601,01-หว้านใหญ่
สำนักงานสาธารณสุขอำเภอศรีวิไล,00440,อื่นๆ,,,8,38,38-บึงกาฬ,3807,07-ศรีวิไล,380701,01-ศรีวิไล
สำนักงานสาธารณสุขอำเภอเรณูนคร,00516,อื่นๆ,02-สำนักงานสาธารณสุขอำเภอ,,8,48,48-นครพนม,4806,06-เรณูนคร,480601,01-เรณู
สำนักงานสาธารณสุขอำเภอหนองสูง,00528,อื่นๆ,,,10,49,49-มุกดาหาร,4907,07-หนองสูง,490701,01-หนองสูง
สำนักงานสาธารณสุขอำเภอสว่างแดนดิน,00504,อื่นๆ,,,8,47,47-สกลนคร,4712,12-สว่างแดนดิน,471201,01-สว่างแดนดิน
สำนักงานสาธารณสุขอำเภอฮอด,00544,อื่นๆ,,,1,50,50-เชียงใหม่,5016,16-ฮอด,501601,01-หางดง
สำนักงานสาธารณสุขอำเภอดอยเต่า,00545,อื่นๆ,,,1,50,50-เชียงใหม่,5017,17-ดอยเต่า,501702,02-ท่าเดื่อ
สำนักงานสาธารณสุขอำเภอธาตุพนม,00515,อื่นๆ,,,8,48,48-นครพนม,4805,05-ธาตุพนม,480501,01-ธาตุพนม
สำนักงานสาธารณสุขอำเภอจอมทอง,00530,อื่นๆ,,,1,50,50-เชียงใหม่,5002,02-จอมทอง,500203,03-บ้านหลวง
สำนักงานสาธารณสุขอำเภอดอยสะเก็ด,00533,อื่นๆ,,,1,50,50-เชียงใหม่,5005,05-ดอยสะเก็ด,500501,01-เชิงดอย
สำนักงานสาธารณสุขอำเภอแม่แตง,00534,อื่นๆ,,,1,50,50-เชียงใหม่,5006,06-แม่แตง,500601,01-สันมหาพน
สำนักงานสาธารณสุขอำเภอแม่ริม,00535,อื่นๆ,,,1,50,50-เชียงใหม่,5007,07-แม่ริม,500701,01-ริมใต้
สำนักงานสาธารณสุขอำเภอสะเมิง,00536,อื่นๆ,,,1,50,50-เชียงใหม่,5008,08-สะเมิง,500801,01-สะเมิงใต้
สำนักงานสาธารณสุขอำเภอหางดง,00543,อื่นๆ,,,1,50,50-เชียงใหม่,5015,15-หางดง,501501,01-หางดง
สำนักงานสาธารณสุขอำเภออมก๋อย,00546,อื่นๆ,,,1,50,50-เชียงใหม่,5018,18-อมก๋อย,501801,01-อมก๋อย
สำนักงานสาธารณสุขอำเภอสารภี,00547,อื่นๆ,,,1,50,50-เชียงใหม่,5019,19-สารภี,501901,01-ยางเนิ้ง
สำนักงานสาธารณสุขอำเภอเวียงแหง,00548,อื่นๆ,,,1,50,50-เชียงใหม่,5020,20-เวียงแหง,502001,01-เมืองแหง
สำนักงานสาธารณสุขอำเภอไชยปราการ,00549,อื่นๆ,,,1,50,50-เชียงใหม่,5021,21-ไชยปราการ,502104,04-หนองบัว
สำนักงานสาธารณสุขอำเภอแม่ออน,00551,อื่นๆ,,,1,50,50-เชียงใหม่,5023,23-แม่ออน,502303,03-บ้านสหกรณ์
สำนักงานสาธารณสุขอำเภอดอยหล่อ,00552,อื่นๆ,,,1,50,50-เชียงใหม่,5024,24-ดอยหล่อ,502401,01-ดอยหล่อ
สำนักงานสาธารณสุขอำเภอเมืองลำพูน,00553,อื่นๆ,,,1,51,51-ลำพูน,5101,01-เมืองลำพูน,510111,11-เวียงยอง
สำนักงานสาธารณสุขอำเภอแม่ทา,00554,อื่นๆ,,,1,51,51-ลำพูน,5102,02-แม่ทา,510202,02-ทาสบเส้า
สำนักงานสาธารณสุขอำเภอบ้านโฮ่ง,00555,อื่นๆ,,,1,51,51-ลำพูน,5103,03-บ้านโฮ่ง,510301,01-บ้านโฮ่ง
สำนักงานสาธารณสุขอำเภอลี้,00556,อื่นๆ,,,1,51,51-ลำพูน,5104,04-ลี้,510401,01-ลี้
สำนักงานสาธารณสุขอำเภอทุ่งหัวช้าง,00557,อื่นๆ,,,1,51,51-ลำพูน,5105,05-ทุ่งหัวช้าง,510501,01-ทุ่งหัวช้าง
