hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
รพสต.เกียร์,10163,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,96,96-นราธิวาส,9609,09-สุคิริน,960903,03-เกียร์
รพสต.บ้านแม่แฮเหนือ ตำบลแม่นาจร,10266,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5003,03-แม่แจ่ม,500305,05-แม่นาจร
รพสต.บาราโหม,09896,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,12,94,94-ปัตตานี,9401,01-เมืองปัตตานี,940108,08-บาราโหม
รพสต.กกดู่,04668,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4201,01-เมืองเลย,420104,04-กกดู่
รพสต.หัวนา,04674,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4201,01-เมืองเลย,420108,08-นาโป่ง
รพสต.หนองผำ,04675,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4201,01-เมืองเลย,420109,09-นาดินดำ
รพสต.บ้านอำปึล ตำบลบักได,10222,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,32,32-สุรินทร์,3214,14-พนมดงรัก,321401,01-บักได
รพสต.คลองหมากนัด  ตำบลบ้านแก้ง,10197,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,27,27-สระแก้ว,2701,01-เมืองสระแก้ว,270102,02-บ้านแก้ง
รพสต.โคกงาม,04713,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4205,05-ด่านซ้าย,420504,04-โคกงาม
รพสต.หนองอุมลัว,04714,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4205,05-ด่านซ้าย,420505,05-โพนสูง
รพสต.บ้านปีแนมูดอ  ตำบลบูกิ๊ต,10187,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,12,96,96-นราธิวาส,9613,13-เจาะไอร้อง,961302,02-บูกิต
รพสต.บ้านแกน้อย ,10280,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5004,04-เชียงดาว,500402,02-เมืองนะ
รพสต.โคกมน,04748,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,8,42,42-เลย,4209,09-วังสะพุง,420906,06-ผาน้อย
รพสต.นาแก,04750,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4209,09-วังสะพุง,420910,10-ผาบิ้ง
รพสต.ห้วยผุก,04751,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4209,09-วังสะพุง,420911,11-เขาหลวง
รพสต.บ้านปางขอน ,10432,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2568,1,57,57-เชียงราย,5701,01-เมืองเชียงราย,570112,12-ห้วยชมภู
รพสต.บ้านรวมไทย  ตำบลโหรา,05256,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,45,45-ร้อยเอ็ด,4514,14-อาจสามารถ,451407,07-โหรา
รพสต.พนาสวรรค์,10426,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2568,1,57,57-เชียงราย,5701,01-เมืองเชียงราย,570106,06-แม่ยาว
รพสต.ห้วยป่าน,04780,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,8,42,42-เลย,4213,13-เอราวัณ,421303,03-ผาสามยอด
รพสต.โนนวังแท่น,13928,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,8,42,42-เลย,4209,09-วังสะพุง,420906,06-ผาน้อย
รพสต.บ้านต้อน,05291,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,7,46,46-กาฬสินธุ์,4601,01-เมืองกาฬสินธุ์,460102,02-เหนือ
รพสต.บ้านพนาสวรรค์,10553,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,3,60,60-นครสวรรค์,6014,14-แม่เปิน,601401,01-แม่เปิน
รพสต.บ้านเรกะติ ตำบลแม่อุสุ,10572,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,63,63-ตาก,6305,05-ท่าสองยาง,630506,06-แม่อุสุ
รพสต.บ้านหนองบัว  ตำบลแม่อุสุ,10573,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,63,63-ตาก,6305,05-ท่าสองยาง,630506,06-แม่อุสุ
รพสต.บ้านคลอง 14 เหนือ ตำบลคลองใหญ่,13825,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,26,26-นครนายก,2604,04-องครักษ์,260411,11-คลองใหญ่
รพสต.บ้านนายอเหนือ ตำบลอากาศ,05532,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,8,47,47-สกลนคร,4711,11-อากาศอำนวย,471101,01-อากาศ
รพสต.บ้านอาลอ ตำบลนาดี,13848,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,32,32-สุรินทร์,3201,01-เมืองสุรินทร์,320104,04-นาดี
รพสต.บ้านนาบัว ตำบลนาบัว,13849,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,32,32-สุรินทร์,3201,01-เมืองสุรินทร์,320118,18-นาบัว
รพสต.บ้านสะแกซำ ตำบลสะแกซำ,13836,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3101,01-เมืองบุรีรัมย์,310125,25-สะแกซำ
รพสต.บ้านหนองยาง  ตำบลหนองโบสถ์,13837,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3104,04-นางรอง,310406,06-หนองโบสถ์
รพสต.บ้านยางโป่งสะเดา  ตำบลตาจง,13839,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3106,06-ละหานทราย,310603,03-ตาจง
รพสต.หนองยารักษ์,13827,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,30,30-นครราชสีมา,3001,01-เมืองนครราชสีมา,300114,14-พุดซา
รพสต.บ้านคลองนครเนื่องเขต  หมู่ที่ 17,11724,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,24,24-ฉะเชิงเทรา,2401,01-เมืองฉะเชิงเทรา,240110,10-คลองนครเนื่องเขต
รพสต.บ้านโกรกแก้ว  ,11966,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,24,24-ฉะเชิงเทรา,2409,09-แปลงยาว,240902,02-วังเย็น
รพสต.บ้านหนองมะค่า ตำบลผไทรินทร์,13844,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3110,10-ลำปลายมาศ,311011,11-ผไทรินทร์
รพสต.บ้านแก ตำบลหนองแวง,13846,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3119,19-บ้านใหม่ไชยพจน์,311901,01-หนองแวง
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ตำบลบางขันแตก,08510,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,75,75-สมุทรสงคราม,7501,01-เมืองสมุทรสงคราม,750102,02-บางขันแตก
รพสต.บ้านคำเตย ตำบลคำเตย,13886,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,35,35-ยโสธร,3509,09-ไทยเจริญ,350904,04-คำเตย
รพสต.วัดบางขันแตก ตำบลบางขันแตก,08509,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,75,75-สมุทรสงคราม,7501,01-เมืองสมุทรสงคราม,750102,02-บางขันแตก
รพสต.บ้านหัวนาคำ ตำบลหัวนาคำ,05363,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,7,46,46-กาฬสินธุ์,4607,07-ยางตลาด,460707,07-หัวนาคำ
รพสต.บ้านโนนสมบูรณ์  ตำบลนาคำไฮ,13892,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,39,39-หนองบัวลำภู,3901,01-เมืองหนองบัวลำภู,390113,13-นาคำไฮ
รพสต.บ้านธาตุ ตำบลธาตุทอง,05559,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,47,47-สกลนคร,4712,12-สว่างแดนดิน,471220,20-ธาตุทอง
รพสต.บ้านชัยชนะ ตำบลท่าศิลา,05562,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,47,47-สกลนคร,4713,13-ส่องดาว,471302,02-ท่าศิลา
รพสต.บ้านโพธิ์,13938,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,44,44-มหาสารคาม,4409,09-วาปีปทุม,440901,01-หนองแสง
รพสต.บ้านโนนแหลมทอง,05388,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,7,46,46-กาฬสินธุ์,4609,09-สหัสขันธ์,460906,06-โนนแหลมทอง
รพสต.งิม,06623,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,56,56-พะเยา,5606,06-ปง,560604,04-งิม
รพสต.บ้านหนองตะไก้   หนองไผ่,13906,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4101,01-เมืองอุดรธานี,410121,21-หนองไผ่
รพสต.บ้านโคกสว่าง  ตำบลปะโค,13907,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4102,02-กุดจับ,410202,02-ปะโค
รพสต.บ้านส้งเปือย ตำบลขัวก่าย,13972,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,47,47-สกลนคร,4708,08-วานรนิวาส,470803,03-ขัวก่าย
รพสต.บ้านวังเยี่ยม ตำบลหนองแวงใต้,13973,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,47,47-สกลนคร,4708,08-วานรนิวาส,470814,14-หนองแวงใต้
รพสต.จอมปลวก,08536,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,75,75-สมุทรสงคราม,7502,02-บางคนที,750209,09-จอมปลวก
รพสต.บ้านสามแยก ,14023,รพสต.อบจ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,2568,1,57,57-เชียงราย,5715,15-แม่ฟ้าหลวง,571502,02-แม่สลองใน
รพสต.บ้านป่าห้า  ตำบลเหมืองจี้,13998,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2568,1,51,51-ลำพูน,5101,01-เมืองลำพูน,510109,09-เหมืองจี้
รพสต.บ้านสวนโคก,13964,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,46,46-กาฬสินธุ์,4603,03-กมลาไสย,460304,04-ดงลิง
รพสต.บ้านโคก ตำบลไร่,13970,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,47,47-สกลนคร,4704,04-พรรณานิคม,470405,05-ไร่
รพสต.บ้านนาถ่อน ตำบลบงเหนือ,13977,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,47,47-สกลนคร,4712,12-สว่างแดนดิน,471206,06-บงเหนือ
รพสต.เกษมสุข ตำบลเพชรละคร,14071,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,67,67-เพชรบูรณ์,6707,07-หนองไผ่,670705,05-เพชรละคร
รพสต.บ้านแหลมมะค่า,14056,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,65,65-พิษณุโลก,6504,04-บางระกำ,650403,03-พันเสา
รพสต.บ้านเกล็ดแรด ตำบลสี่ขีด,14081,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,80,80-นครศรีธรรมราช,8014,14-สิชล,801406,06-สี่ขีด
รพสต.บ้านแม่ราก ตำบลป่างิ้ว,14048,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,64,64-สุโขทัย,6405,05-ศรีสัชนาลัย,640502,02-ป่างิ้ว
รพสต.บ้านศาลา ตำบลบ้านไร่,14221,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,70,70-ราชบุรี,7004,04-ดำเนินสะดวก,700408,08-บ้านไร่
รพสต.บ้านหนองมะซาง   ,14217,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,77,77-ประจวบคีรีขันธ์,7702,02-กุยบุรี,770201,01-กุยบุรี
รพสต.บ้านบาโงยบาแด  ตำบลสะเตงนอก,14108,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,12,95,95-ยะลา,9501,01-เมืองยะลา,950116,16-สะเตงนอก
รพสต.บ้านคลองไทร,14032,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,3,60,60-นครสวรรค์,6013,13-แม่วงก์,601303,03-แม่เล่ย์
รพสต.บ้านนาท้อน ต.ตลิ่งชัน,14078,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,11,80,80-นครศรีธรรมราช,8008,08-ท่าศาลา,800811,11-ตลิ่งชัน
รพสต.บ้านห้วยเคียน,14017,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,1,56,56-พะเยา,5601,01-เมืองพะเยา,560110,10-แม่กา
รพสต.บ้านร่องคต,14020,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,1,57,57-เชียงราย,5705,05-พาน,570514,14-ทานตะวัน
รพสต.บ้านกะทูน-พิปูนล้นเกล้า,14096,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,91,91-สตูล,9103,03-ควนกาหลง,910302,02-ควนกาหลง
รพสต.บ้านโนนอนามัย ตำบลเรณูใต้,14278,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4806,06-เรณูนคร,480608,08-เรณูใต้
รพสต.บ้านหนองแสงตอ ต.สุมเส้า,14246,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4119,19-เพ็ญ,411905,05-สุมเส้า
รพสต.บ้านกระเดา ตำบลดู่,14287,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,33,33-ศรีสะเกษ,3309,09-ราษีไศล,330908,08-ดู่
รพสต.บ้านสันตัง ตำบลหนองตรุด,14099,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,92,92-ตรัง,9201,01-เมืองตรัง,920114,14-หนองตรุด
รพสต.ปะเหลียน,14100,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,92,92-ตรัง,9204,04-ปะเหลียน,920403,03-ปะเหลียน
รพสต.บ้านหนองหว้า ตำบลทุ่งยาว,14101,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,92,92-ตรัง,9204,04-ปะเหลียน,920402,02-ทุ่งยาว
รพสต.บ้านดอนทราย,14094,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,86,86-ชุมพร,8607,07-สวี,860708,08-วิสัยใต้
รพสต.โป่งป่าติ้ว,14352,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4201,01-เมืองเลย,420104,04-กกดู่
รพสต.สระกระเทียม,14870,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,73,73-นครปฐม,7301,01-เมืองนครปฐม,730120,20-สระกะเทียม
รพสต.บ้านถ่อนนาเพลิน  ต.นาทราย,14247,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4123,23-พิบูลย์รักษ์,412302,02-นาทราย
รพสต.พรประเสริฐ,14353,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,8,42,42-เลย,4213,13-เอราวัณ,421301,01-เอราวัณ
รพสต.หลักร้อยหกสิบ,14355,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,42,42-เลย,4214,14-หนองหิน,421401,01-หนองหิน
รพสต.บ้านเวินพระบาท ตำบลเวินพระบาท,05640,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4803,03-ท่าอุเทน,480311,11-เวินพระบาท
รพสต.บ้านเขตเมือง ตำบลลาดใหญ่,14873,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,75,75-สมุทรสงคราม,7501,01-เมืองสมุทรสงคราม,750103,03-ลาดใหญ่
รพสต.บ้านยางชุม ตำบลโพนสูง,05545,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,47,47-สกลนคร,4712,12-สว่างแดนดิน,471207,07-โพนสูง
รพสต.บ้านเตาถ่าน ตำบลทุ่งขนาน,14888,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,6,22,22-จันทบุรี,2207,07-สอยดาว,220702,02-ทุ่งขนาน
รพสต.บ้านหนองสองตอน ตำบลแก่งเสี้ยน,14869,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,5,71,71-กาญจนบุรี,7101,01-เมืองกาญจนบุรี,710105,05-แก่งเสี้ยน
รพสต.บ้านดอนกลาง ตำบลบ้านคู,03033,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3113,13-นาโพธิ์,311302,02-บ้านคู
รพสต.โคกหญ้าคา  ตำบลยายแย้มวัฒนา,02949,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,31,31-บุรีรัมย์,3123,23-เฉลิมพระเกียรติ,312305,05-ยายแย้มวัฒนา
รพสต.บ้านท่าเรือ  ตำบลท่าเรือ,05724,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4809,09-นาหว้า,480906,06-ท่าเรือ
รพสต.บ้านอูตูม ตำบลนาเกียน,21317,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5018,18-อมก๋อย,501806,06-นาเกียน
รพสต.บ้านน้ำมุด ตำบลแม่กระบุง,15020,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,5,71,71-กาญจนบุรี,7104,04-ศรีสวัสดิ์,710406,06-แม่กระบุง
รพสต.บ้านโคกม่วง,15006,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,40,40-ขอนแก่น,4005,05-ชุมแพ,400505,05-ขัวเรียง
รพสต.บ้านน้ำโค้ง   ,14719,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,1,54,54-แพร่,5401,01-เมืองแพร่,540110,10-ป่าแมต
รพสต.บ้านห้วยน้ำขุ่น,15000,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,1,57,57-เชียงราย,5715,15-แม่ฟ้าหลวง,571504,04-แม่ฟ้าหลวง
รพสต.บ้านท่าพุทรา ตำบลโกสัมพี,07262,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,3,62,62-กำแพงเพชร,6211,11-โกสัมพีนคร,621101,01-โกสัมพี
รพสต.โพนจาน,23137,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,48,48-นครพนม,4810,10-โพนสวรรค์,481006,06-โพนจาน
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ,09404,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,86,86-ชุมพร,8604,04-หลังสวน,860413,13-หาดยาย
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ,07876,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,70,70-ราชบุรี,7001,01-เมืองราชบุรี,700120,20-คูบัว
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี ,10088,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,95,95-ยะลา,9508,08-กรงปินัง,950804,04-ปุโรง
รพสต.บ้านหนองหอย  ตำบลผักขะ,02484,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,27,27-สระแก้ว,2705,05-วัฒนานคร,270503,03-ผักขะ
รพสต.บ้านยางลุ่ม  ไร่น้อย,03536,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,10,34,34-อุบลราชธานี,3401,01-เมืองอุบลราชธานี,340112,12-ไร่น้อย
รพสต.บ้านดงมอน ,05758,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,10,49,49-มุกดาหาร,4901,01-เมืองมุกดาหาร,490112,12-ดงมอน
รพสต.บ้านห้วยลึก  ตำบลโพธิ์ชัย,04170,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,8,39,39-หนองบัวลำภู,3901,01-เมืองหนองบัวลำภู,390103,03-โพธิ์ชัย
รพสต.บ้านคำรุ่งเรือง  ตำบลโพธิ์,04840,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,43,43-หนองคาย,4305,05-โพนพิสัย,430513,13-บ้านโพธิ์
รพสต.บ้านหนองหว้า  ,02254,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,24,24-ฉะเชิงเทรา,2406,06-พนมสารคาม,240602,02-บ้านซ่อง
รพสต.บ้านนิคมทหารผ่านศึก  นิคมทหารผ่านศึก,04485,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4101,01-เมืองอุดรธานี,410105,05-บ้านตาด
รพสต.บ้านโนนสะอาด  ต.บ้านชัย,04597,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4111,11-บ้านดุง,411107,07-บ้านชัย
รพสต.บ้านก้อง ต.บ้านก้อง,04653,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4122,22-นายูง,412202,02-บ้านก้อง
รพสต.บ้านดอนชัย ตำบลยางคราม,06049,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,50,50-เชียงใหม่,5024,24-ดอยหล่อ,502403,03-ยางคราม
รพสต.บ้านกุดจิก,05399,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,7,46,46-กาฬสินธุ์,4611,11-ท่าคันโท,461104,04-กุดจิก
รพสต.บ้านชายทะเลบางกระเจ้า  ,08472,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,74,74-สมุทรสาคร,7401,01-เมืองสมุทรสาคร,740116,16-บางกระเจ้า
รพสต.บ้านสบมาย ตำบลบ้านแลง,06123,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520109,09-บ้านแลง
รพสต.นาสะแบง,04892,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,38,38-บึงกาฬ,3807,07-ศรีวิไล,380704,04-นาสะแบง
สถานีอนามัยเฉลิมพระเกียรติ 60 พรรษา นวมินทราชินี บ้านกระบาก,04971,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,44,44-มหาสารคาม,4413,13-ชื่นชม,441303,03-เหล่าดอกไม้
รพสต.บ้านมหาไชย ,05416,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,46,46-กาฬสินธุ์,4613,13-สมเด็จ,461304,04-มหาไชย
รพสต.บ้านต้นเลียบ  ตำบลโมคลาน,08841,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,80,80-นครศรีธรรมราช,8008,08-ท่าศาลา,800807,07-โมคลาน
รพสต.บ้านยา ต.บ้านยา,04556,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,8,41,41-อุดรธานี,4106,06-หนองหาน,410610,10-บ้านยา
รพสต.บ้านหลุมหิน ตำบลหนองโรง,08110,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,5,71,71-กาญจนบุรี,7109,09-พนมทวน,710902,02-หนองโรง
รพสต.บ้านสุพรรณพนมทอง,07580,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,65,65-พิษณุโลก,6508,08-วังทอง,650802,02-พันชาลี
รพสต.รวมทรัพย์ ตำบลภูน้ำหยด,07796,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,67,67-เพชรบูรณ์,6705,05-วิเชียรบุรี,670509,09-ภูน้ำหยด
รพสต.โคกมน ตำบลโคกมน,07836,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,2,67,67-เพชรบูรณ์,6709,09-น้ำหนาว,670904,04-โคกมน
รพสต.บ้านทับเก่า ตำบลบ้านเสด็จ,09263,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,84,84-สุราษฎร์ธานี,8414,14-เคียนซา,841405,05-บ้านเสด็จ
รพสต.บ้านบางคราม,09014,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,11,81,81-กระบี่,8104,04-คลองท่อม,810402,02-คลองท่อมเหนือ
รพสต.หนองบัว,01464,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,16,16-ลพบุรี,1602,02-พัฒนานิคม,160207,07-หนองบัว
รพสต.เที่ยงแท้,01645,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,3,18,18-ชัยนาท,1805,05-สรรคบุรี,180502,02-เที่ยงแท้
รพสต.ลานตากฟ้า,08395,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,73,73-นครปฐม,7303,03-นครชัยศรี,730322,22-ลานตากฟ้า
รพสต.สะกอม,09499,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,90,90-สงขลา,9005,05-เทพา,900507,07-สะกอม
รพสต.บือเระ,09959,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,12,94,94-ปัตตานี,9407,07-สายบุรี,940705,05-บือเระ
รพสต.บางเป้า,09673,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,92,92-ตรัง,9202,02-กันตัง,920204,04-บางเป้า
รพสต.บ้านโคกใหญ่,05360,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,7,46,46-กาฬสินธุ์,4607,07-ยางตลาด,460704,04-บัวบาน
รพสต.บ้านไร่เหนือ ตำบลเขาขาว,08871,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,11,80,80-นครศรีธรรมราช,8009,09-ทุ่งสง,800913,13-เขาขาว
